CİNSİ	STOK İSMİ	STOK KODU
Mamül	GRANİT CEZVE NO:2.TAŞEV	152.TASEV.3232.2.KREM
Mamül	GRANİT CEZVE NO:2.TAŞEV	152.TASEV.3232.2.SİYAH
Mamül	GRANİT CEZVE NO:3.TAŞEV	152.TASEV.3232.3.GOLD
Mamül	GRANİT CEZVE NO:3.TAŞEV	152.TASEV.3232.3.KREM
Mamül	GRANİT CEZVE NO:3.TAŞEV	152.TASEV.3232.3.SİYAH
Mamül	GRANİT CEZVE NO:4.TAŞEV	152.TASEV.3232.4.GOLD
Mamül	GRANİT CEZVE NO:4.TAŞEV	152.TASEV.3232.4.KREM
Mamül	GRANİT CEZVE NO:4.TAŞEV	152.TASEV.3232.4.SİYAH
Mamül	GRANİT 26 CM KREP TAVA.TAŞEV	152.TASEV.3234.26.GRI
Mamül	GRANİT 26 CM KREP TAVA.TAŞEV	152.TASEV.3234.26.SIYAH
Mamül	3 PCS GRANİT SET.(TAVA+ KARNIYARIK).TAŞEV T3885	152.TASEV.3257.03.GRI
Mamül	3 PCS GRANİT SET.(TAVA+ KARNIYARIK).TAŞEV T3886	152.TASEV.3257.03.SIYAH
Mamül	14CM MİNİ DÖKÜM TAVA - TAŞEV	152.TASEV.3720.14.KIRMIZI
Mamül	14CM MİNİ DÖKÜM TAVA - TAŞEV	152.TASEV.3720.14.SIYAH
Mamül	14CM MİNİ DÖKÜM SAHAN - TAŞEV	152.TASEV.3721.14.KIRMIZI
Mamül	14CM MİNİ DÖKÜM SAHAN - TAŞEV	152.TASEV.3721.14.SIYAH
Mamül	14CM MİNİ DÖKÜM TENCERE - TAŞEV	152.TASEV.3722.14.KIRMIZI
Mamül	14CM MİNİ DÖKÜM TENCERE - TAŞEV	152.TASEV.3722.14.SIYAH
Mamül	TASEV 4 PCS GRANİT M BOY ÇAYDANLIK-İNDÜKSİYON	152.TASEV.8200.M.GOLD
Mamül	4 PCS GRANİT M BOY ÇAYDANLIK-İNDÜKSİYON TASEV	152.TASEV.8200.M.KREM
Mamül	4 PCS GRANİT M BOY ÇAYDANLIK-İNDÜKSİYON TASEV	152.TASEV.8200.M.SYH
Mamül	TEFLON CEZVE NO:4	152.TCEZ-4-SYH
Depolanan Yarı mamül	GRANİT Ø 20 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.20.ANTRACI
Depolanan Yarı mamül	GRANİT Ø 20 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.20.BLACK
Depolanan Yarı mamül	GRANİT Ø 20 CM TOPCHEF KÜRE TENCERE.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3142.20.G.BROWN
Depolanan Yarı mamül	GRANİT Ø 22 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.22.ANTRACI
Depolanan Yarı mamül	GRANİT Ø 22 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.22.BLACK
Depolanan Yarı mamül	GRANİT Ø 22 CM TOPCHEF KÜRE TENCERE.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3142.22.G.BROWN
Depolanan Yarı mamül	GRANİT Ø 24 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.24.ANTRACI
Depolanan Yarı mamül	GRANİT Ø 24 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.24.BLACK
Depolanan Yarı mamül	GRANİT Ø 24 CM TOPCHEF KÜRE TENCERE.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3142.24.G.BROWN
Depolanan Yarı mamül	GRANİT Ø 26 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.26.ANTRACI
Depolanan Yarı mamül	GRANİT Ø 26 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.26.BLACK
Depolanan Yarı mamül	GRANİT Ø 26 CM TOPCHEF KÜRE TENCERE.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3142.26.G.BROWN
Depolanan Yarı mamül	GRANİT Ø 28 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.28.ANTRACI
Depolanan Yarı mamül	GRANİT Ø 28 CM TOPCHEF KÜRE TENCERE (PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3142.28.BLACK
Depolanan Yarı mamül	GRANİT Ø 28CM TOPCHEF KÜRE TENCERE.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3142.28.G.BROWN
Mamül	GRANİT Ø 24 CM KÜRE TAVA.KOYU GRI.(PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.24.ANTRACI
Mamül	GRANİT Ø 24 CM KÜRE TAVA.SIYAH.(PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.24.BLACK
Mamül	GRANİT Ø 24 CM KÜRE TAVA.KIZIL KAHVE.(PYREX KAPAK-GOLD ÇELİK SAP)	152.TCHEF.3206.24.G.BROWN
Mamül	GRANİT Ø 26 CM KÜRE TAVA.KOYU GRI.(PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.26.ANTRACI
Mamül	GRANİT Ø 26 CM KÜRE TAVA.SIYAH.(PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.26.BLACK
Mamül	GRANİT Ø 26 CM KÜRE TAVA.KIZIL KAHVE.(PYREX KAPAK-GOLD ÇELİK SAP)	152.TCHEF.3206.26.G.BROWN
Mamül	GRANİT Ø 28 CM KÜRE TAVA.KOYU GRİ (PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.28.ANTRACI
Mamül	GRANİT Ø 28 CM KÜRE TAVA.SIYAH (PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.28.BLACK
