STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
sto_kod	sto_isim	Ticari mal	sto_muh_kod	TANIMSIZ	sto_muh_Iade_kod	TANIMSIZ	sto_muh_sat_muh_kod	TANIMSIZ	sto_yurtdisi_satmuhk	TANIMSIZ	sto_muh_satIadmuhkod	TANIMSIZ
STOK KODU		Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
YENİ KOD	ÜRÜN AÇIKLAMASI	Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
Z99	ADIYAMAN SEVK İRSALİYE	Mamül	150.01.01.01.001	Paslanmaz Çelik Sac	150.01.01.01.001	Paslanmaz Çelik Sac	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
771.02	ÜRÜN RAFI	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları				
999	152 Stok Fark Hs	İşletme malzemesi	99Z	GEÇİÇİ HESAP	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
A9099	40 CM GRANITE DOUBLE GRILL FRY PAN (GRANİT TAVA)	Ticari mal	153.01.04.05.009	Granit Tava	153.01.04.05.009	Granit Tava	600.01.04.05.009	Granit Tava	601.01.01.05.009	Granit Tava	610.01.04.05.009	Granit Tava
DENEME.01.3333	DENEME ÜRÜN	Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
G.TES-F.FMS-08	OFSET KUTU 8 PCS GRANİT TENCERE SET K.SAPLI (FMS)	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
G.TES-F.SCH-08	OFSET KUTU 8 PCS GRANİT TENCERE SET (SCHAFER)	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
grup kodu	Mamul Adı	Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
Maddekodu	Mamul Adı	Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.22	20 CM DÖKÜM TENCERE KALIP	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları				
770.26	ÖZKOÇ HİDROLİK PRES 	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600.01.04.20.032	Satır				
770.27	İŞÇİLİK VE SERVİS ÜCRETİ	Ticari mal	730.01.01.04.014	Personel Koruyucu Ekipmanları Hs	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları				
770.28	Dyson SV17 V11 Abs Ekstra Pro	Ticari mal	153.01.04.08.001	Süpürge - Halı Yıkama	153.01.04.08.001	Süpürge - Halı Yıkama	600.01.04.08.001	Süpürge	601.01.#SMS#.08.001	TANIMSIZ	610.01.04.08.001	Süpürge - Halı Yıkama
770.29	Forklift	Ticari mal	153.01.04.08.001	Süpürge - Halı Yıkama	153.01.04.08.001	Süpürge - Halı Yıkama	600.01.04.08.001	Süpürge	601.01.#SMS#.08.001	TANIMSIZ	610.01.04.08.001	Süpürge - Halı Yıkama
770.30	GOODWAY CNC TORNA - MODEL: GV-780	Mamül	730.01.01.04.004	Taşıt Tamir, Bakım, Onarım, Muayene Gid. Hs.	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları				
770.15	KAZI RUHSATI ÇIKARTILMASI	İşletme malzemesi	770.01.01.04.099	Diğer Çeşitli Giderler	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.16	RULMAN 22314 C3	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları						
770.16.001	KUŞBAŞI	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.002	KIYMA	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.003	KUZU KÜŞLEME	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.004	RULMAN 6201	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.005	RULMAN 2211	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.006	RULMAN 6211	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.16.007	RULMAN 6308	Ticari mal	730.01.01.03.007	Kalıp Giderleri	602.01.01.02.005	Gider İadeleri vs Alış Fiyat Farkları	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
770.17	500 GR. BAKLAVA PROMOSYON KUTU	Ticari mal	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu						
