FİRMA	HESAP ADI	İBAN	MİKRO	BANKA UZUN ADI	UNVAN
Paslanmaz	TL	TR59 0013 5000 0000 1518 2500 03	102.01.A001	ANADOLUBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL	TR07 0011 1000 0000 0013 6839 78	102.01.F002	QNB BANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL	TR79 0001 2009 6060 0010 2605 83	102.01.H021	HALKBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL POS	TR52 0001 2009 6060 0010 2606 81	102.01.H022	HALKBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR77 0001 2009 6060 0053 0016 32	102.02.H021	HALKBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR65 0001 2009 6060 0058 0004 52	102.03.H021	HALKBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR52 0001 2009 6060 0010 2605 84	102.01.H121	HALKBANK A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR50 0001 2009 6060 0053 0016 33	102.02.H121	HALKBANK A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR23 0006 4000 0011 3790 0282 15	102.01.I004	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL ÇEK	TR51 0006 4000 0011 3790 0209 21	102.01.I002	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL POS	TR45 0006 4000 0011 3790 0239 39	102.01.I003	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL DBS	TR72 0006 4000 0011 3790 0457 63	102.01.I005	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR39 0006 4000 0021 3790 0078 43	102.02.I001	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR22 0006 4000 0021 3790 0078 58	102.03.I001	İŞ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR14 0006 4000 0011 3790 0237 21	102.01.I101	İŞ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	TL DBS	TR12 0006 4000 0011 3790 0457 76	102.01.I102	İŞ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR55 0006 4000 0021 3790 0259 85	102.02.I101	İŞ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR17 0006 4000 0021 3790 0259 90	102.03.I101	İŞ BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR07 0020 5000 0001 9401 3000 05	102.01.K002	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR82 0020 5000 0001 9401 3001 10	102.02.K003	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	EUR	TR55 0020 5000 0001 9401 3001 11	102.03.K003	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR19 0020 5000 0001 9401 6000 04	102.01.K102	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR24 0020 5000 0001 9401 6001 08	102.02.K102	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR94 0020 5000 0001 9401 6001 09	102.03.K102	KUVEYTTÜRK KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR11 0020 6001 2500 6337 9300 01	102.01.T011	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL TEMİNAT	TR07 0020 6001 2500 6337 9321 10	102.01.T013	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR27 0020 6001 2500 6337 9301 01	102.02.T011	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR24 0020 6001 2500 7398 3100 02	102.01.T111	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR13 0020 6001 2500 7398 3101 03	102.02.T111	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR83 0020 6001 2500 7398 3101 04	102.03.T111	TÜRKİYE FİNANS KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR31 0001 5001 5800 7293 9488 19	102.01.V002	VAKIFBANK A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	TL	TR30 0021 0000 0001 1414 3000 01	102.01.V011	VAKIF KATILIM BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Uluslararası	TL	TR95 0021 0000 0001 1414 4000 02	102.01.V111	VAKIF KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	USD	TR84 0021 0000 0001 1414 4001 03	102.02.V111	VAKIF KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Uluslararası	EUR	TR57 0021 0000 0001 1414 4001 04	102.03.V111	VAKIF KATILIM BANKASI A.Ş.	OMS ULUSLARARASI TİCARET LTD.ŞTİ.
Paslanmaz	TL	TR20 0006 7010 0000 0085 9877 16	102.01.Y001	YAPI KREDİ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
Paslanmaz	USD	TR90 0006 7010 0000 0085 9877 17	102.02.Y001	YAPI KREDİ BANKASI A.Ş.	OMS PASLANMAZ MUTFAK ARAÇLARI SAN. VE TİC. LTD.ŞTİ.
